央视频道,#genre#
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
湖北卫视,http://183.207.255.190/live/program/live/hbwshd/4000000/mnf.m3u8#http://cm.wshls.homecdn.com/live/1bd65.m3u8#http://121.31.30.87:8085/ysten-business/live/hdhubeistv/1.m3u8#http://101.71.255.229:6610/zjhs/2/10154/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8
河北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/index.m3u8#http://39.135.138.6:6610/PLTV/88888888/224/3221225610/2/index.m3u8?fmt=ts2hls#http://101.71.255.229:6610/zjhs/2/10017/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河南卫视,http://101.71.255.229:6610/zjhs/2/10153/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ivi.bupt.edu.cn/hls/hnhd.m3u8
辽宁卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8#http://101.71.255.229:6610/zjhs/2/10148/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225947/1.m3u8#http://183.207.255.190/live/program/live/lnwshd/4000000/mnf.m3u8
吉林卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226792/48616745.smil#http://101.71.255.229:6610/zjhs/2/10149/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
黑龙江卫视,http://stream3.hljtv.com/hljws2/sd/live.m3u8#http://103.18.208.181/keonline.shanghai.liveplay.qq.com/live/program/live/hljwshd/4000000/mnf.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225640/index.m3u8#http://101.71.255.229:6610/zjhs/2/10151/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/1.m3u8
海南卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://39.134.39.38/PLTV/88888888/224/3221226301/index.m3u8#http://ivi.bupt.edu.cn/hls/lyhd.m3u8#http://101.71.255.229:6610/zjhs/2/10034/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
三沙卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226544/index.m3u8#http://ivi.bupt.edu.cn/hls/sstv.m3u8#rtmp://58.200.131.2:1935/livetv/sstv
宁夏卫视,https://hhytv.ningxiahuangheyun.com/live/nxws1M.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226528/index.m3u8#rtmp://58.200.131.2:1935/livetv/nxtv
山西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226531/index.m3u8#http://ivi.bupt.edu.cn/hls/sxrtv.m3u8#rtmp://58.200.131.2:1935/livetv/sxrtv
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8

港澳频道,#genre#
凤凰中文台,https://player.ggiptv.com/v/ifeng.php?id=2#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225942/1.m3u8#rtmp://58.200.131.2:1935/livetv/fhzw#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8#http://96.44.140.132:18006/view.php?type=m3u8&id=sz_phcn&key=84797b799ae18d1b#http://117.169.124.43:6610/ysten-businessmobile/live/fhchinese/index.m3u8
凤凰资讯台,https://player.ggiptv.com/v/ifeng.php?id=1#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://96.44.140.132:18006/view.php?type=m3u8&id=sz_phzx&key=84797b799ae18d1b#http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8#rtmp://58.200.131.2:1935/livetv/fhzx
凤凰香港台,https://player.ggiptv.com/v/ifeng.php?id=3
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=233&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#https://itv.ahcme.edu.cn/hls/startv.m3u8#rtmp://58.200.131.2:1935/livetv/startv
星空体育,rtmp://58.200.131.2:1935/livetv/starsports
莲花卫视,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
TVB·翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1&lv=1&c=0&s=4&v=100&wh=16:9&p=1#http://livetv.dnsfor.me/channel.18.m3u8#http://cdn.hkdtmb.com/hls/81/index.m3u8
TVB·星河台,http://50.7.161.82:8278/streams/d/Xinhe/playlist.m3u8
国家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
澳视澳门,http://61.244.22.5/ch1/_definst_/ch1.live/playlist.m3u8
澳门卫星,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
澳门资讯,http://61.244.22.5/ch5/_definst_/info_ch5.live/playlist.m3u8
天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
天映频道,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8
开放电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8#http://cdn.hkdtmb.com/hls/77/index.m3u8
澳亚卫视,https://live.mastvnet.com/4rlff1m/1024/live.m3u8
卫视音乐,rtmp://58.200.131.2:1935/livetv/channelv
港视31台·,https://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-b.m3u8#http://cdn.hkdtmb.com/hls/31/index.m3u8
港视32台·,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8#http://cdn.hkdtmb.com/hls/32/index.m3u8

杂类频道,#genre#
中华特产,http://play.zhtctv.cn/portal/btv.m3u8
福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
福州影视,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
哈哈炫动,http://183.207.255.190/live/program/live/hhxdhd/4000000/mnf.m3u8
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8
广东综艺,http://nclive.grtn.cn/4K/sd/live.m3u8
欢笑剧场,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8#http://183.207.248.71/cntv/live1/HD-15M-2160P-jshuanxiaojc/HD-15M-2160P-jshuanxiaojc
卡酷少儿,rtmp://58.200.131.2:1935/livetv/btv10hd
上海外语,http://183.207.255.190/live/program/live/wypdhd/2300000/mnf.m3u8
清华大学,https://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
CNC·中文频道,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC·英文频道,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
珠江频道,http://nclive.grtn.cn/zjpd/sd/live.m3u8#http://39.135.32.29:6610/000000001000/1000000004000011655/1.m3u8?#http://39.135.33.12/PLTV/77777777/224/3221226608/index.m3u8
南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8#http://39.134.24.202/PLTV/88888888/224/3221225871/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226218/1.m3u8#http://39.135.33.12/PLTV/77777777/224/3221226596/index.m3u8#http://183.207.248.71/gitv/live1/G_NANFANG/G_NANFANG
南国都市,http://player.ioioz.com/1237/gd/gztvm3u8.php?id=gzngds
广州影视,http://player.ioioz.com/1237/gd/gztvm3u8.php?id=gzys
广州竞赛,http://player.ioioz.com/1237/gd/gztvm3u8.php?id=gzjs
都市剧场,http://183.207.248.71/gitv/live1/G_DUSHIJC/G_DUSHIJC#http://39.134.186.42/PLTV/88888888/224/3221226825/index.m3u8
佛山综合,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
佛山影视,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
东方影视,http://183.207.255.190/live/program/live/dsjpdhd/4000000/mnf.m3u8
高尔夫台,http://szlive.grtn.cn/grfpd/sd/live.m3u8
快乐垂钓,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226549/index.m3u8
深圳都市,https://sztv-live.cutv.com/ZwxzUXr/500/d1uZ5x0.m3u8?
深圳电视剧,https://sztv-live.cutv.com/4azbkoY/500/g3r45z0.m3u8?
内蒙古综合,http://live4.m2oplus.nmtv.cn/7/playlist.m3u8
内蒙古娱乐,http://live4.m2oplus.nmtv.cn/8/playlist.m3u8
内蒙古少儿,http://live5.m2oplus.nmtv.cn/4/playlist.m3u8
足球频道,http://ivi.bupt.edu.cn/hls/zqhd.m3u8#rtmp://58.200.131.2:1935/livetv/zqhd
新疆体育,http://livehyw5.chinamcache.com/hyw/zb10.m3u8
山东体育,http://livealone302.iqilu.com/iqilu/typd.m3u8
山东齐鲁,http://livealone302.iqilu.com/iqilu/qlpd.m3u8
齐影视港剧,http://hls.haokan.bdstatic.com/haokan/stream_bduid_1831830486_0.m3u8
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226352/1.m3u8#http://39.134.24.202/PLTV/88888888/224/3221226005/index.m3u8
CHC·动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#rtmp://58.200.131.2:1935/livetv/chcatv
CHC·家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8#rtmp://58.200.131.2:1935/livetv/chctv
CHC·高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8#http://itv.ahau.edu.cn/hls/chchd.m3u8#rtmp://58.200.131.2:1935/livetv/chchd

地方电视,#genre#
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
上海教育,http://live.setv.sh.cn/slive/shedu02_1200k.m3u8
上海综合,http://183.207.255.190/live/program/live/xwzhhd/2300000/mnf.m3u8#http://140.207.241.2:8080/live/program/live/xwzhhd/4000000/mnf.m3u8
上海影视,http://140.207.241.2:8080/live/program/live/dsjpdhd/2300000/mnf.m3u8#http://183.207.255.190/live/program/live/dsjpdhd/2300000/mnf.m3u8
上海纪实,http://183.207.255.190/live/program/live/jspdhd/2300000/mnf.m3u8#http://140.207.241.2:8080/live/program/live/jspdhd/4000000/mnf.m3u8
上海外语,http://183.207.255.190/live/program/live/wypdhd/2300000/mnf.m3u8#http://140.207.241.2:8080/live/program/live/wypdhd/2300000/mnf.m3u8
上海都市,http://183.207.255.190/live/program/live/ylpdhd/2300000/mnf.m3u8#http://140.207.241.2:8080/live/program/live/ylpdhd/2300000/mnf.m3u8
上海·哈哈炫动,http://183.207.255.190/live/program/live/hhxdhd/4000000/mnf.m3u8
上海·欢笑剧场,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8
内蒙古综合,http://live4.m2oplus.nmtv.cn/7/sd/live.m3u8
内蒙古农牧,http://live4.m2oplus.nmtv.cn/6/sd/live.m3u8
内蒙古娱乐,http://live4.m2oplus.nmtv.cn/8/sd/live.m3u8
内蒙古经济,http://live5.m2oplus.nmtv.cn/2/sd/live.m3u8
内蒙古蒙语,http://live5.m2oplus.nmtv.cn/3/sd/live.m3u8
内蒙古少儿,http://live5.m2oplus.nmtv.cn/4/sd/live.m3u8
福建·福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
福建·福州影视,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福建·福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
福建·福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
福建·厦门一台,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/1.m3u8
福建·厦门二台,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/1.m3u8
